Day,Start,End,Event,Room,GM,GM2,Event Type,# of People,Description
2.Thursday,10:00 AM,12:00 PM,Adventure Tactics: Domianne's Tower,Bonaire 4,Cassie Friedman,,,5,Let Cassie run you through this fun new Dungeon Crawl
2.Thursday,10:00 AM,10:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,10:00 AM,2:00 PM,RPG: Urban Infestation,Bonaire 4,Greater Than Games,,,5,
2.Thursday,10:00 AM,5:00 PM,Playtesting Lab,Boca III-IV,Matt Holden,,,,"Join Indie Game Alliance and play some games before they are produced, and help make them better"
2.Thursday,10:00 AM,5:00 PM,new Teotihuacan expansion,Caribbean Ballroom I-IV,Meeple Source,,Demo,,"Teotihuacan: Late Preclassic Period, available to demo all day, Also: Sierra West, same times. People can choose between getting a quick preview, or to actually sit down and play a short demo.  "
2.Thursday,10:00 AM,12:00 PM,Pandemic Survival Tournament - ZMAN,Boca I & II,Michael Giugliano,Joseph Rose,,16,Must have pre-signed up
2.Thursday,10:00 AM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
2.Thursday,10:00 AM,12:00 PM,Celestia Tournament,Caribbean I-IV,Quick Simple Fun,,Tournament,16,Come win the new Expansion to Celestia
2.Thursday,10:00 AM,5:00 PM,Muse Awakenings Demo,Caribbean I-IV,Quick Simple Fun,,Demo,16,Come and try this fun game from Quick Simple Fun Games
2.Thursday,10:00 AM,5:00 PM,For the Love of Cats,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
2.Thursday,10:00 AM,5:00 PM,Freight Cars,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
2.Thursday,10:00 AM,1:00 PM,"Battle of Tewkesbury EPIC BattleLore",Curacao I & II,Richard Borg,Steve Zaccardi,,8,
2.Thursday,10:00 AM,2:00 PM,"Russian Civil War Board Game",Curacao I & II,Richard Borg,,,5,
2.Thursday,10:00:00 AM,12:00:00 PM,Waters of Nereus,Bonaire 2,Steve Finn,,Event,4,"Sail the seas of Nereus in this worker-placement, set collection, fantasy seafaring game from Dr. Finn's Games."
2.Thursday,10:00 AM,5:00 PM,"Demos of Imperial Settlers, Monolith Arena, Tides of Time/Tides of Madness, and Alien Artifacts",Bonaire 1,Portal Games,,Demo,,Demos all con long
2.Thursday,10:30 AM,11:00 AM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,10:30 AM,1212 PM,"Battle of Long Island Tricorne American Revolution",Curacao I & II,Jim Riley,,,4,
2.Thursday,11:00 AM,11:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,11:00 AM,12:00 PM,Tumblin Dice World Championship,Caribbean Foyer,Tom Vasel,,,30,
2.Thursday,11:30 AM,12:30 PM,Painting Session 2 of 2,Bonaire 6,Sam Healey ,Vernon Piper,Event,25,Learn to paint session
2.Thursday,11:30 AM,12:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,12:00 PM,12:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
2.Thursday,12:00 PM,1:00 PM,Tom vs Buonocore,Caribbean Foyer,Tom Vasel,,,0,Tom and Steve Bounocore Face Off. The loser gets a pie in the face.
2.Thursday,12:30 PM,1:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,12:30 PM,2:00 PM,"Battle of Brandywine Tricorne American Revolution",Curacao I & II,Jim Riley,,,4,
2.Thursday,1:00 PM,1:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,1:00 PM,4:00 PM,Zombicide Black Plague in the Dungeon,Bonaire 5,Wilbert Kies,,Event,8,Can you plunder the gold and escape before being overcome by the zombie horde?  Open to all experience levels. Will teach people new to the game.
2.Thursday,1:30 PM,2:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
2.Thursday,2:00 PM,4:00 PM,Adventure Tactics: Domianne's Tower,Bonaire 4,Cassie Friedman,,,5,Let Cassie run you through this fun new Dungeon Crawl
